control_timestamps,yaw,distance,distance_2,motor_input
31679,3.772,1319,399,63.0
31686,3.772,1319,402,59.0
31702,3.768,1319,402,56.0
31715,3.768,1319,402,54.0
31725,3.768,1317,402,51.0
31734,3.768,1317,402,49.0
31740,3.768,1317,402,47.0
31750,3.486,1317,402,41.0
31757,3.486,1317,402,40.0
31765,3.486,1317,402,40.0
31773,3.486,1317,402,40.0
31779,3.486,1317,402,40.0
31788,3.486,1317,391,40.0
31795,3.486,1317,391,40.0
31807,3.46,1317,391,40.0
31817,3.46,1317,391,40.0
31831,3.46,1314,391,40.0
31844,3.46,1314,391,40.0
31859,3.531,1314,391,40.0
31866,3.531,1314,391,40.0
31877,3.531,1314,391,40.0
31884,3.531,1314,388,40.0
31895,3.531,1314,388,40.0
31909,3.524,1314,388,40.0
31921,3.524,1268,388,40.0
31926,3.524,1268,388,40.0
31934,3.524,1268,388,40.0
31942,3.524,1268,388,40.0
31948,3.524,1268,388,40.0
31960,3.573,1268,388,40.0
31970,3.573,1268,388,40.0
31975,3.573,1268,388,40.0
31985,3.573,1268,394,40.0
31994,3.573,1268,394,40.0
32007,3.573,1268,394,40.0
32014,3.582,1268,394,40.0
32023,3.582,1283,394,40.0
32029,3.582,1283,394,40.0
32035,3.582,1283,394,40.0
32043,3.582,1283,394,40.0
32051,3.582,1283,394,40.0
32057,3.582,1283,394,40.0
32067,3.568,1283,394,40.0
32073,3.568,1283,394,40.0
32090,3.568,1283,390,40.0
32105,3.568,1283,390,40.0
32124,3.486,1249,390,40.0
32139,3.486,1249,390,40.0
32154,3.486,1249,390,40.0
32163,3.486,1249,390,40.0
32171,3.572,1249,390,40.0
32186,3.572,1249,389,40.0
32196,3.572,1249,389,40.0
32203,3.572,1249,389,40.0
32207,3.572,1249,389,40.0
32219,3.572,1302,389,40.0
32230,3.654,1302,389,40.0
32236,3.654,1302,389,40.0
32240,3.654,1302,389,40.0
32252,3.654,1302,389,40.0
32256,3.654,1302,389,40.0
32262,3.654,1302,389,40.0
32277,3.623,1302,389,40.0
32292,3.623,1302,391,75.0
32302,3.623,1302,391,72.0
32309,3.623,1300,391,70.0
32318,3.623,1300,391,68.0
32328,4.12,1300,391,58.0
32337,4.12,1300,391,57.0
32348,4.12,1300,391,56.0
32365,4.12,1300,391,55.0
32377,4.12,1300,391,54.0
32390,4.717,1300,409,43.0
32398,4.717,1300,409,43.0
32410,4.717,1401,409,43.0
32429,4.717,1401,409,43.0
32439,4.634,1401,409,44.0
32454,4.634,1401,409,44.0
32465,4.634,1401,409,44.0
32471,4.634,1401,409,44.0
32477,4.634,1401,409,44.0
32487,4.634,1401,424,43.0
32495,4.66,1401,424,43.0
32505,4.66,1449,424,43.0
32514,4.66,1449,424,43.0
32530,4.66,1449,424,43.0
32543,4.619,1449,424,43.0
32553,4.619,1449,424,43.0
32563,4.619,1449,424,43.0
32576,4.619,1449,424,43.0
32588,4.619,1449,426,43.0
32594,4.616,1449,426,43.0
32598,4.616,1449,426,43.0
32608,4.616,1433,426,43.0
32615,4.616,1433,426,43.0
32620,4.616,1433,426,43.0
32629,4.616,1433,426,43.0
32636,4.616,1433,426,43.0
32642,4.616,1433,426,43.0
32654,4.548,1433,426,44.0
32669,4.548,1433,426,44.0
32680,4.548,1433,426,44.0
32687,4.548,1433,417,44.0
32691,4.548,1433,417,44.0
32704,4.583,1439,417,43.0
32708,4.583,1439,417,43.0
32716,4.583,1439,417,43.0
32724,4.583,1439,417,43.0
32729,4.583,1439,417,43.0
32740,4.583,1439,417,43.0
