control_timestamps,yaw,distance,distance_2,motor_input
44453,3.701,1484,455,61.0
44462,3.697,1484,455,58.0
44471,3.697,1484,455,55.0
44477,3.697,1484,455,53.0
44482,3.697,1484,455,50.0
44490,3.697,1484,455,48.0
44497,3.697,1484,455,46.0
44501,3.697,1484,455,45.0
44521,3.403,1486,455,40.0
44529,3.403,1486,455,40.0
44545,3.403,1486,455,40.0
44556,3.403,1486,455,40.0
44580,3.485,1486,455,40.0
44590,3.485,1486,455,40.0
44600,3.485,1486,455,40.0
44611,3.485,1486,455,40.0
44626,3.477,1468,445,40.0
44639,3.477,1468,445,40.0
44650,3.477,1468,445,40.0
44663,3.477,1468,445,40.0
44675,3.519,1468,445,40.0
44684,3.519,1468,445,40.0
44695,3.519,1468,445,40.0
44706,3.519,1468,445,40.0
44724,3.519,1474,448,40.0
44735,3.527,1474,448,40.0
44744,3.527,1474,448,40.0
44755,3.527,1474,448,40.0
44772,3.527,1474,448,40.0
44787,3.497,1474,448,40.0
44796,3.497,1474,448,40.0
44802,3.497,1474,448,40.0
44812,3.497,1474,448,40.0
44829,3.497,1478,452,40.0
44841,3.479,1478,452,40.0
44854,3.479,1478,452,40.0
44862,3.479,1478,452,40.0
44873,3.479,1478,452,40.0
44891,3.43,1478,452,40.0
44901,3.43,1478,452,40.0
44912,3.43,1478,452,40.0
44917,3.43,1478,452,40.0
44930,3.43,1474,451,40.0
44941,3.445,1474,451,40.0
44961,3.445,1474,451,40.0
44972,3.445,1474,451,40.0
44983,3.445,1474,451,40.0
44998,3.131,1474,451,40.0
45010,3.131,1474,451,40.0
45021,3.131,1474,451,40.0
45038,3.131,1469,449,40.0
45048,3.132,1469,449,40.0
45055,3.132,1469,449,86.0
45065,3.132,1469,449,82.0
45078,3.132,1469,449,80.0
45096,3.712,1469,449,67.0
45106,3.712,1469,449,66.0
45111,3.712,1469,449,64.0
45117,3.712,1469,449,63.0
45122,3.712,1469,449,61.0
45133,3.712,1482,451,60.0
45148,5.883,1482,451,40.0
45160,5.883,1482,451,40.0
45166,5.883,1482,451,40.0
45176,5.883,1482,451,40.0
45188,5.883,1482,451,40.0
45200,6.019,1482,451,40.0
45213,6.019,1482,451,40.0
45224,6.019,1482,451,40.0
45242,6.019,1533,475,40.0
45254,5.998,1533,475,40.0
45266,5.998,1533,475,40.0
45272,5.998,1533,475,40.0
45282,5.998,1533,475,40.0
45292,5.998,1533,475,40.0
45303,5.998,1533,475,40.0
45317,5.932,1533,475,40.0
45326,5.932,1533,475,40.0
45334,5.932,1530,472,40.0
45337,5.932,1530,472,40.0
45346,5.932,1530,472,40.0
45354,5.932,1530,472,40.0
45360,5.964,1530,472,40.0
45365,5.964,1530,472,40.0
45375,5.964,1530,472,40.0
45381,5.964,1530,472,40.0
45386,5.964,1530,472,40.0
45395,5.964,1530,472,40.0
45408,5.964,1530,472,40.0
45422,5.993,1530,472,40.0
45433,5.993,1538,468,40.0
45442,5.993,1538,468,40.0
45448,5.993,1538,468,40.0
45456,5.993,1538,468,40.0
45476,6.033,1538,468,40.0
45486,6.033,1538,468,40.0
45495,6.033,1538,468,40.0
45506,6.033,1538,468,40.0
45522,5.991,1538,468,40.0
45533,5.991,1528,466,40.0
45541,5.991,1528,466,40.0
45552,5.991,1528,466,40.0
45558,5.991,1528,466,40.0
45564,5.991,1528,466,40.0
45574,5.991,1528,466,40.0
45586,5.961,1528,466,40.0
45596,5.961,1528,466,40.0
45607,5.961,1528,466,40.0
45623,5.961,1528,466,40.0
45638,5.975,1537,466,40.0
45652,5.975,1537,466,40.0
45662,5.975,1537,466,40.0
45673,5.975,1537,466,40.0
