control_timestamps,yaw,distance,distance_2,motor_input
33523,3.377,2246,352,56.0
33526,3.377,2246,352,53.0
33538,3.377,2246,352,50.0
33542,3.377,2246,352,48.0
33553,3.377,2246,352,46.0
33558,3.377,2246,352,44.0
33569,3.377,2246,352,42.0
33581,3.377,2246,351,41.0
33595,3.207,2246,351,40.0
33599,3.207,2246,351,40.0
33609,3.207,2246,351,40.0
33616,3.207,2224,351,40.0
33626,3.207,2224,351,40.0
33637,3.207,2224,351,40.0
33644,3.221,2224,351,40.0
33654,3.221,2224,351,40.0
33661,3.221,2224,351,40.0
33671,3.221,2224,351,40.0
33679,3.221,2224,352,40.0
33683,3.221,2224,352,40.0
33693,3.221,2224,352,40.0
33704,3.142,2224,352,40.0
33711,3.142,2237,352,40.0
33718,3.142,2237,352,40.0
33729,3.142,2237,352,40.0
33747,3.132,2237,352,40.0
33756,3.132,2237,352,40.0
33774,3.132,2237,350,40.0
33794,3.132,2237,350,40.0
33813,3.187,2262,350,40.0
33829,3.187,2262,350,40.0
33838,3.187,2262,350,40.0
33849,3.187,2262,350,40.0
33863,3.159,2262,350,40.0
33875,3.159,2262,350,40.0
33880,3.159,2262,350,40.0
33887,3.159,2262,350,40.0
33891,3.159,2262,350,40.0
33903,3.159,2262,350,40.0
33916,3.145,2226,350,40.0
33924,3.145,2226,350,40.0
33941,3.145,2226,350,40.0
33957,3.145,2226,350,40.0
33965,3.04,2226,350,40.0
33980,3.04,2226,354,40.0
33996,3.04,2226,354,40.0
34015,2.893,2181,354,40.0
34025,2.893,2181,354,40.0
34032,2.893,2181,354,40.0
34036,2.893,2181,354,40.0
34048,2.893,2181,354,40.0
34053,2.893,2181,354,40.0
34071,2.919,2181,351,40.0
34078,2.919,2181,351,40.0
34089,2.919,2181,351,40.0
34100,2.919,2181,351,40.0
34126,2.919,2195,351,92.0
34144,2.919,2195,351,88.0
34155,2.919,2195,351,85.0
34167,2.919,2195,352,82.0
34183,3.922,2195,352,63.0
34193,3.922,2195,352,61.0
34199,3.922,2195,352,60.0
34211,3.922,2256,352,59.0
34228,4.775,2256,352,44.0
34239,4.775,2256,352,43.0
34250,4.775,2256,352,43.0
34260,4.775,2256,352,43.0
34273,4.775,2256,356,43.0
34287,4.593,2256,356,46.0
34301,4.593,2256,356,45.0
34308,4.593,2222,356,45.0
34317,4.593,2222,356,45.0
34323,4.593,2222,356,45.0
34335,4.567,2222,356,45.0
34339,4.567,2222,356,45.0
34347,4.567,2222,356,45.0
34358,4.567,2222,356,44.0
34374,4.567,2222,354,44.0
34382,4.703,2222,354,42.0
34396,4.703,2222,354,42.0
34414,4.703,2224,354,42.0
34424,4.703,2224,354,42.0
34430,4.703,2224,354,42.0
34441,4.619,2224,354,43.0
34446,4.619,2224,354,43.0
34457,4.619,2224,354,43.0
34462,4.619,2224,354,43.0
34474,4.619,2224,353,43.0
34479,4.619,2224,353,43.0
34491,4.618,2224,353,43.0
34495,4.618,2224,353,43.0
34507,4.618,2209,353,43.0
34527,4.618,2209,353,43.0
34537,4.618,2209,353,43.0
34546,4.616,2209,353,43.0
34559,4.616,2209,353,43.0
34574,4.616,2209,355,43.0
34581,4.616,2209,355,43.0
34592,4.616,2209,355,43.0
34607,4.692,2273,355,41.0
34616,4.692,2273,355,41.0
34632,4.692,2273,355,42.0
34645,4.692,2273,355,42.0
34656,4.788,2273,355,40.0
34666,4.788,2273,355,40.0
34675,4.788,2273,354,40.0
34690,4.788,2273,354,40.0
34696,4.788,2273,354,40.0
34707,4.824,2247,354,40.0
34723,4.824,2247,354,40.0
34739,4.824,2247,354,40.0
34757,4.891,2247,354,40.0
34766,4.891,2247,354,40.0
34773,4.891,2247,355,40.0
34782,4.891,2247,355,40.0
34788,4.891,2247,355,40.0
34799,4.891,2247,355,40.0
34806,4.891,2241,355,40.0
34817,4.818,2241,355,41.0
34826,4.818,2241,355,41.0
34832,4.818,2241,355,41.0
34837,4.818,2241,355,41.0
34848,4.818,2241,355,41.0
34854,4.818,2241,355,41.0
34872,4.804,2241,350,41.0
34888,4.804,2241,350,41.0
34897,4.804,2241,350,41.0
34913,4.804,2228,350,41.0
34922,4.833,2228,350,41.0
34936,4.833,2228,350,41.0
34953,4.833,2228,350,41.0
34969,5.012,2228,354,40.0
34981,5.012,2228,354,40.0
34991,5.012,2228,354,40.0
35007,5.012,2209,354,40.0
35014,5.012,2209,354,206.0
35026,4.957,2209,354,198.0
35031,4.957,2209,354,190.0
35042,4.957,2209,354,183.0
35048,4.957,2209,354,177.0
35054,4.957,2209,354,171.0
35065,4.957,2209,354,166.0
35076,7.505,2209,354,119.0
35085,7.505,2209,354,117.0
35102,7.505,2244,354,115.0
35118,7.505,2244,354,114.0
35135,14.175,2244,354,40.0
35150,14.175,2244,354,40.0
35167,14.175,2244,356,40.0
35181,22.217,2244,356,40.0
35189,22.217,2244,356,40.0
35201,22.217,2303,356,40.0
35215,22.217,2303,356,40.0
35223,22.217,2303,356,40.0
35236,25.891,2303,356,40.0
35245,25.891,2303,356,41.0
35251,25.891,2303,356,42.0
35256,25.891,2303,356,42.0
35266,25.891,2303,367,43.0
35278,25.891,2303,367,43.0
35285,25.402,2303,367,40.0
35289,25.402,2303,367,40.0
35300,25.402,2281,367,40.0
35310,25.402,2281,367,40.0
35316,25.402,2281,367,40.0
35325,25.402,2281,367,40.0
35331,25.402,2281,367,40.0
35343,25.36,2281,367,40.0
35349,25.36,2281,367,40.0
35362,25.36,2281,369,40.0
35371,25.36,2281,369,40.0
35382,25.36,2281,369,40.0
35406,25.381,2445,369,40.0
35420,25.381,2445,369,41.0
35437,25.381,2445,369,41.0
35454,25.308,2445,369,40.0
35468,25.308,2445,364,40.0
35477,25.308,2445,364,40.0
35488,25.308,2445,364,40.0
35502,25.364,2286,364,41.0
35510,25.364,2286,364,42.0
35524,25.364,2286,364,42.0
35532,25.364,2286,364,42.0
35555,25.309,2286,364,41.0
35565,25.309,2286,364,41.0
35570,25.309,2286,364,41.0
35575,25.309,2286,364,41.0
35586,25.309,2286,364,41.0
35592,25.309,2286,364,41.0
35605,25.328,2417,364,42.0
35608,25.328,2417,364,42.0
35619,25.328,2417,364,42.0
35630,25.328,2417,364,42.0
35644,25.328,2417,364,42.0
35656,25.216,2417,364,40.0
35671,25.216,2417,363,40.0
35676,25.216,2417,363,40.0
35687,25.216,2417,363,40.0
35693,25.216,2417,363,40.0
35704,25.216,2279,363,41.0
35716,25.294,2279,363,42.0
35725,25.294,2279,363,42.0
35739,25.294,2279,363,40.0
35748,25.294,2279,363,40.0
35755,25.294,2279,363,40.0
35762,25.384,2279,365,40.0
35776,25.384,2279,365,40.0
35787,25.384,2279,365,40.0
35798,25.384,2279,365,40.0
35817,25.673,2491,365,40.0
35835,25.673,2491,365,40.0
35851,25.673,2491,365,40.0
35869,25.673,2491,365,40.0
35885,25.66,2491,365,40.0
35897,25.66,2491,365,40.0
35905,25.66,2413,365,40.0
35908,25.66,2413,365,40.0
35926,25.628,2413,365,40.0
35931,25.628,2413,365,40.0
35941,25.628,2413,365,40.0
35948,25.628,2413,365,40.0
35952,25.628,2413,365,40.0
35964,25.628,2413,362,40.0
35969,25.628,2413,362,40.0
35981,25.676,2413,362,40.0
35990,25.676,2413,362,40.0
35996,25.676,2413,362,40.0
36007,25.676,2430,362,40.0
36015,25.676,2430,362,40.0
36023,25.676,2430,362,40.0
36035,25.657,2430,362,40.0
36049,25.657,2430,362,40.0
36064,25.657,2430,366,40.0
36072,25.657,2430,366,40.0
36085,25.637,2430,366,40.0
36090,25.637,2430,366,40.0
36102,25.637,2431,366,40.0
36107,25.637,2431,366,40.0
36116,25.637,2431,366,40.0
36124,25.637,2431,366,40.0
36136,25.624,2431,366,40.0
36147,25.624,2431,366,40.0
36159,25.624,2431,366,40.0
36171,25.624,2431,366,40.0
36177,25.624,2431,366,40.0
36189,25.647,2431,366,40.0
36193,25.647,2431,366,40.0
36204,25.647,2395,366,40.0
36216,25.647,2395,366,40.0
36225,25.647,2395,366,40.0
36239,25.629,2395,366,40.0
36247,25.629,2395,366,40.0
36259,25.629,2395,367,40.0
36269,25.629,2395,367,40.0
36285,25.629,2395,367,40.0
36304,25.635,2365,367,40.0
36321,25.635,2365,367,40.0
36332,25.635,2365,367,40.0
36339,25.635,2365,367,40.0
36363,25.648,2365,364,40.0
36371,25.648,2365,364,40.0
36383,25.648,2365,364,40.0
36394,25.648,2365,364,40.0
36402,25.687,2443,364,40.0
36412,25.687,2443,364,40.0
36423,25.687,2443,364,40.0
36436,25.687,2443,364,40.0
36442,25.687,2443,364,40.0
36455,25.663,2443,366,40.0
36458,25.663,2443,366,40.0
36465,25.663,2443,366,40.0
36472,25.663,2443,366,40.0
36482,25.663,2443,366,40.0
36493,25.663,2443,366,40.0
36502,25.663,2471,366,40.0
36512,25.727,2471,366,40.0
36526,25.727,2471,366,40.0
36547,25.727,2471,366,40.0
36566,25.784,2471,367,40.0
36580,25.784,2471,367,200.0
36592,25.784,2471,367,191.0
36604,25.784,2330,367,183.0
36614,26.055,2330,367,172.0
36620,26.055,2330,367,166.0
36623,26.055,2330,367,160.0
36631,26.055,2330,367,155.0
36637,26.055,2330,367,151.0
36642,26.055,2330,367,147.0
36659,26.055,2330,366,143.0
36665,30.296,2330,366,69.0
36674,30.296,2330,366,70.0
36680,30.296,2330,366,71.0
36691,30.296,2330,366,71.0
36697,30.296,2330,366,72.0
36709,30.296,2116,366,72.0
36713,30.296,2116,366,73.0
36725,35.949,2116,366,40.0
36741,35.949,2116,366,40.0
36751,35.949,2116,366,40.0
36763,35.949,2116,363,40.0
36785,38.594,2116,363,40.0
36800,38.594,2116,363,40.0
36807,38.594,731,363,40.0
36829,38.684,731,363,40.0
36838,38.684,731,363,40.0
36849,38.684,731,363,40.0
36856,38.684,731,361,40.0
36864,38.684,731,361,40.0
36879,38.693,731,361,40.0
36897,38.693,731,361,40.0
36909,38.693,710,361,40.0
36923,38.693,710,361,40.0
36936,38.709,710,361,40.0
36946,38.709,710,361,40.0
36963,38.709,710,357,40.0
36972,38.709,710,357,40.0
36981,38.68,710,357,40.0
37000,38.68,710,357,40.0
37012,38.68,717,357,40.0
37022,38.68,717,357,40.0
37028,38.68,717,357,40.0
37040,38.688,717,357,40.0
37056,38.688,717,359,40.0
37071,38.688,717,359,40.0
37084,38.688,717,359,40.0
37092,38.659,717,359,40.0
37112,38.659,727,359,40.0
37128,38.659,727,359,40.0
37145,38.686,727,359,40.0
37162,38.686,727,357,40.0
37172,38.686,727,357,175.0
37187,38.686,727,357,166.0
37190,38.686,727,357,159.0
37204,38.975,727,357,147.0
37211,38.975,710,357,141.0
37223,38.975,710,357,136.0
37234,38.975,710,357,131.0
37259,42.857,710,362,62.0
37277,42.857,710,362,61.0
37288,42.857,710,362,61.0
37294,42.857,710,362,60.0
37301,49.284,710,362,40.0
37309,49.284,669,362,40.0
37321,49.284,669,362,40.0
37327,49.284,669,362,40.0
37334,49.284,669,362,40.0
37345,49.284,669,362,40.0
37361,53.517,669,384,40.0
37364,53.517,669,384,40.0
37374,53.517,669,384,40.0
37386,53.517,669,384,40.0
37400,53.517,669,384,40.0
37411,53.693,557,384,40.0
37419,53.693,557,384,40.0
37430,53.693,557,384,40.0
37444,53.693,557,384,40.0
37459,53.304,557,394,40.0
37467,53.304,557,394,40.0
37480,53.304,557,394,40.0
37486,53.304,557,394,40.0
37494,53.304,557,394,40.0
37502,53.304,557,394,40.0
37521,53.319,556,394,40.0
37524,53.319,556,394,40.0
37535,53.319,556,394,40.0
37550,53.319,556,394,40.0
37564,53.372,556,396,40.0
37573,53.372,556,396,40.0
37585,53.372,556,396,40.0
37601,53.372,556,396,40.0
37624,53.376,557,396,40.0
37636,53.376,557,396,40.0
37648,53.376,557,396,40.0
37659,53.376,557,400,40.0
37670,53.434,557,400,40.0
37679,53.434,557,400,40.0
37692,53.434,557,400,40.0
37698,53.434,557,400,40.0
37708,53.434,557,400,40.0
37715,53.434,557,400,40.0
37727,53.491,557,400,40.0
37736,53.491,557,400,40.0
37750,53.491,557,400,40.0
37761,53.491,557,398,40.0
37772,53.491,557,398,78.0
37787,53.301,557,398,79.0
37793,53.301,557,398,76.0
37799,53.301,557,398,74.0
37809,53.301,557,398,72.0
37816,53.301,558,398,70.0
37825,53.301,558,398,68.0
37843,54.351,558,398,49.0
37854,54.351,558,388,49.0
37864,54.351,558,388,48.0
37869,54.351,558,388,48.0
37878,54.351,558,388,48.0
37896,55.469,558,388,40.0
37907,55.469,558,388,40.0
37918,55.469,540,388,40.0
37925,55.469,540,388,40.0
37943,55.421,540,388,40.0
37959,55.421,540,379,40.0
37974,55.421,540,379,40.0
37980,55.421,540,379,40.0
37992,55.412,540,379,40.0
37996,55.412,540,379,40.0
38007,55.412,540,379,40.0
38014,55.412,537,379,40.0
38024,55.412,537,379,40.0
38029,55.412,537,379,40.0
38047,55.435,537,379,40.0
38053,55.435,537,373,40.0
38068,55.435,537,373,40.0
38073,55.435,537,373,40.0
38084,55.435,537,373,40.0
38089,55.435,537,373,40.0
38102,55.307,537,373,40.0
38118,55.307,533,373,40.0
38133,55.307,533,373,40.0
38152,55.223,533,374,40.0
38166,55.223,533,374,40.0
38182,55.223,533,374,40.0
38200,55.334,533,374,40.0
38210,55.334,533,374,40.0
38223,55.334,539,374,40.0
