control_timestamps,yaw,distance,distance_2,motor_input
59893,3.173,2247,354,53.0
59898,3.173,2247,354,50.0
59907,3.173,2247,354,47.0
59918,3.173,2247,354,45.0
59944,3.01,2247,353,40.0
59956,3.01,2247,353,40.0
59969,3.01,2247,353,40.0
59982,3.01,2257,353,40.0
59993,2.946,2257,353,40.0
60002,2.946,2257,353,40.0
60019,2.946,2257,353,40.0
60031,2.946,2257,353,40.0
60042,2.946,2257,354,40.0
60057,2.901,2257,354,40.0
60066,2.901,2257,354,40.0
60072,2.901,2257,354,40.0
60078,2.901,2277,354,40.0
60086,2.901,2277,354,40.0
60094,2.901,2277,354,40.0
60105,2.894,2277,354,40.0
60116,2.894,2277,354,40.0
60127,2.894,2277,354,40.0
60139,2.894,2277,353,40.0
60144,2.894,2277,353,40.0
60151,2.878,2277,353,40.0
60155,2.878,2277,353,40.0
60165,2.878,2277,353,40.0
60177,2.878,2242,353,40.0
60188,2.878,2242,353,40.0
60199,2.878,2242,353,40.0
60212,2.799,2242,353,40.0
60221,2.799,2242,353,40.0
60227,2.799,2242,353,40.0
60238,2.799,2242,352,40.0
60249,2.799,2242,352,40.0
60261,2.851,2242,352,40.0
60272,2.851,2249,352,40.0
60281,2.851,2249,352,40.0
60298,2.851,2249,352,40.0
60310,2.717,2249,352,40.0
60321,2.717,2249,352,40.0
60342,2.717,2249,354,40.0
60352,2.717,2249,354,40.0
60367,2.62,2237,354,40.0
60381,2.62,2237,354,40.0
60392,2.62,2237,354,40.0
60398,2.62,2237,354,40.0
60404,2.62,2237,354,40.0
60412,2.62,2237,354,40.0
60422,2.664,2237,354,40.0
60429,2.664,2237,354,40.0
60438,2.664,2237,350,40.0
60447,2.664,2237,350,40.0
60459,2.664,2237,350,40.0
60470,2.651,2244,350,40.0
60487,2.651,2244,350,40.0
60504,2.651,2244,350,99.0
60522,2.616,2244,350,96.0
60531,2.616,2244,350,92.0
60543,2.616,2244,354,89.0
60553,2.616,2244,354,86.0
60565,2.616,2262,354,83.0
60576,5.021,2262,354,40.0
60591,5.021,2262,354,40.0
60597,5.021,2262,354,40.0
60608,5.021,2262,354,40.0
60614,5.021,2262,354,40.0
60620,5.021,2262,354,40.0
60630,6.134,2262,354,40.0
60637,6.134,2262,352,40.0
60650,6.134,2262,352,40.0
60659,6.134,2267,352,40.0
60669,6.134,2267,352,40.0
60692,5.983,2267,352,40.0
60702,5.983,2267,352,40.0
60711,5.983,2267,352,40.0
60722,5.983,2267,352,40.0
60739,5.992,2267,352,40.0
60752,5.992,2267,352,40.0
60764,5.992,2218,352,40.0
60769,5.992,2218,352,40.0
60775,5.992,2218,352,40.0
60783,5.992,2218,352,40.0
60793,6.026,2218,352,40.0
