control_timestamps,yaw,distance,distance_2,motor_input
20827,4.074,648,236,68.0
20832,4.074,648,236,64.0
20846,4.074,648,236,61.0
20859,4.074,647,236,58.0
20871,3.63,647,236,50.0
20884,3.63,647,233,50.0
20892,3.63,647,233,50.0
20903,3.63,647,233,50.0
20910,3.63,647,233,50.0
20917,3.63,647,233,50.0
20939,3.627,647,233,50.0
20949,3.627,647,233,50.0
20966,3.627,653,233,50.0
20989,3.559,653,235,50.0
21003,3.559,653,235,50.0
21014,3.559,653,235,50.0
21025,3.559,653,235,50.0
21042,3.6,653,235,50.0
21054,3.6,653,235,50.0
21067,3.6,652,235,50.0
21073,3.6,652,235,50.0
21086,3.739,652,235,50.0
21095,3.739,652,235,50.0
21111,3.739,652,235,50.0
21123,3.739,652,235,50.0
21136,3.678,652,235,50.0
21145,3.678,652,235,50.0
21155,3.678,652,235,50.0
21172,3.678,652,235,50.0
21184,3.678,652,238,50.0
21200,3.572,652,238,50.0
21210,3.572,652,238,50.0
21219,3.572,652,238,50.0
21230,3.572,652,238,50.0
21247,3.625,652,238,50.0
21258,3.625,652,238,50.0
21275,3.625,651,238,50.0
21286,3.625,651,234,50.0
21294,3.693,651,234,50.0
21303,3.693,651,234,50.0
21309,3.693,651,234,50.0
21321,3.693,651,234,50.0
21331,3.693,651,234,50.0
21336,3.693,651,234,50.0
21342,3.693,651,234,50.0
21360,3.79,651,234,50.0
21382,3.79,651,240,50.0
21392,3.79,651,240,50.0
21397,3.79,651,240,50.0
21414,3.747,651,240,50.0
21421,3.747,651,240,72.0
21435,3.747,651,240,70.0
21441,3.747,651,240,68.0
21450,3.747,651,240,66.0
21463,3.799,651,240,63.0
21479,3.799,653,238,62.0
21487,3.799,653,238,61.0
21498,3.799,653,238,59.0
21510,5.485,653,238,50.0
21524,5.485,653,238,50.0
21536,5.485,653,238,50.0
21547,5.485,653,238,50.0
21552,5.485,653,238,50.0
21563,5.371,653,238,50.0
21575,5.371,648,220,50.0
21583,5.371,648,220,50.0
21597,5.371,648,220,50.0
21603,5.371,648,220,50.0
21609,5.371,648,220,50.0
21619,5.334,648,220,50.0
21625,5.334,648,220,50.0
21636,5.334,648,220,50.0
21642,5.334,648,220,50.0
21653,5.334,648,220,50.0
21659,5.334,648,220,50.0
21677,5.228,645,220,50.0
21692,5.228,645,220,50.0
21703,5.228,645,220,50.0
21719,5.228,645,220,50.0
21732,5.237,645,220,50.0
21741,5.237,645,220,50.0
21757,5.237,645,220,50.0
21771,5.237,645,220,50.0
21784,5.515,646,220,50.0
21792,5.515,646,220,50.0
21803,5.515,646,220,50.0
21815,5.515,646,220,50.0
21828,5.714,646,220,50.0
21833,5.714,646,220,50.0
21840,5.714,646,220,50.0
21850,5.714,646,220,50.0
21860,5.714,646,220,50.0
21873,5.714,646,223,50.0
21885,5.781,649,223,50.0
21897,5.781,649,223,50.0
21907,5.781,649,223,50.0
21913,5.781,649,223,50.0
21924,5.781,649,223,50.0
21932,5.731,649,223,50.0
21941,5.731,649,223,50.0
21950,5.731,649,223,50.0
21961,5.731,649,223,50.0
21968,5.731,649,221,50.0
21978,5.731,649,221,50.0
21996,5.606,648,221,50.0
22005,5.606,648,221,50.0
22015,5.606,648,221,203.0
22025,5.606,648,221,194.0
22031,5.606,648,221,186.0
22043,5.65,648,221,178.0
22052,5.65,648,221,172.0
22059,5.65,648,221,166.0
22067,5.65,648,221,161.0
22070,5.65,648,221,156.0
22076,5.65,648,221,152.0
22090,10.088,647,221,74.0
22104,10.088,647,221,74.0
22114,10.088,647,221,75.0
22128,10.088,647,221,75.0
22138,10.088,647,221,76.0
22149,16.121,647,221,50.0
22158,16.121,647,221,50.0
22173,16.121,647,201,50.0
22182,16.121,647,201,50.0
22201,18.633,647,201,50.0
22217,18.633,647,201,50.0
22228,18.633,647,201,50.0
22235,18.633,647,201,50.0
22253,19.019,647,201,50.0
22264,19.019,647,202,50.0
22276,19.019,647,202,50.0
22288,19.019,647,202,50.0
22298,19.019,647,202,50.0
22305,19.121,647,202,50.0
22310,19.121,647,202,50.0
22315,19.121,647,202,50.0
22320,19.121,647,202,50.0
22326,19.121,647,202,50.0
22338,19.121,647,202,50.0
22347,19.121,647,202,50.0
22364,19.135,647,203,50.0
22375,19.135,647,203,50.0
22384,19.135,642,203,50.0
22400,19.135,642,203,50.0
22412,19.007,642,203,50.0
22420,19.007,642,203,50.0
22431,19.007,642,203,50.0
22438,19.007,642,203,50.0
22449,19.007,642,203,50.0
22469,19.0,642,203,50.0
22481,19.0,645,203,50.0
22490,19.0,645,203,50.0
22500,19.0,645,203,50.0
22514,18.936,645,203,50.0
22523,18.936,645,203,50.0
22534,18.936,645,203,50.0
22551,18.936,645,203,50.0
22568,18.936,645,200,50.0
22582,19.034,645,200,50.0
22591,19.034,645,200,50.0
22602,19.034,645,200,50.0
22609,19.034,645,200,50.0
22616,19.034,645,200,50.0
22637,18.904,645,200,50.0
22648,18.904,645,200,50.0
22664,18.904,645,200,50.0
22679,18.94,644,201,175.0
22687,18.94,644,201,166.0
22698,18.94,644,201,159.0
22705,18.94,644,201,151.0
22708,18.94,644,201,145.0
22719,18.94,644,201,139.0
22734,20.225,644,201,113.0
22743,20.225,644,201,109.0
22754,20.225,644,201,106.0
22768,20.225,644,199,103.0
22780,23.434,648,199,50.0
22788,23.434,648,199,50.0
22794,23.434,648,199,50.0
22799,23.434,648,199,50.0
22810,23.434,648,199,50.0
22816,23.434,648,199,50.0
22823,23.434,648,199,50.0
22841,24.558,648,199,50.0
22858,24.558,648,199,50.0
22870,24.558,648,201,50.0
22880,24.558,655,201,50.0
22888,24.794,655,201,50.0
22897,24.794,655,201,50.0
22903,24.794,655,201,50.0
22908,24.794,655,201,50.0
22919,24.794,655,201,50.0
22931,24.794,655,201,50.0
22943,25.043,655,201,50.0
22955,25.043,655,201,50.0
22962,25.043,655,203,50.0
22970,25.043,655,203,50.0
22979,25.043,652,203,50.0
22983,25.043,652,203,50.0
22990,25.0,652,203,50.0
22994,25.0,652,203,50.0
23003,25.0,652,203,50.0
23016,25.0,652,203,50.0
23022,25.0,652,203,50.0
23027,25.0,652,203,50.0
23032,25.0,652,203,50.0
23039,25.0,652,203,50.0
23050,25.041,652,203,50.0
23060,25.041,652,205,50.0
23071,25.041,652,205,50.0
23084,25.041,651,205,50.0
23093,25.041,651,205,50.0
23109,25.044,651,205,50.0
23121,25.044,651,205,50.0
23129,25.044,651,205,50.0
23139,25.044,651,205,50.0
23146,25.044,651,205,50.0
23160,24.924,651,203,50.0
23168,24.924,651,203,50.0
23175,24.924,652,203,50.0
23185,24.924,652,203,50.0
23195,24.924,652,203,50.0
23209,24.807,652,203,50.0
23224,24.807,652,203,50.0
23236,24.807,652,203,50.0
23246,24.807,652,203,50.0
23261,25.016,652,199,50.0
23276,25.016,656,199,206.0
23286,25.016,656,199,197.0
23293,25.016,656,199,189.0
23304,25.016,656,199,182.0
23312,26.062,656,199,159.0
23321,26.062,656,199,154.0
23327,26.062,656,199,150.0
23337,26.062,656,199,146.0
23349,26.062,656,199,142.0
23363,30.113,656,201,71.0
23381,30.113,663,201,72.0
23391,30.113,663,201,73.0
23397,30.113,663,201,73.0
23408,30.113,663,201,74.0
23422,35.999,663,201,50.0
23429,35.999,663,201,50.0
23445,35.999,663,201,50.0
23457,35.999,663,199,50.0
23469,39.822,663,199,50.0
23480,39.822,707,199,50.0
23489,39.822,707,199,50.0
23501,39.822,707,199,50.0
23513,39.822,707,199,50.0
23525,41.613,707,199,50.0
23534,41.613,707,199,50.0
23539,41.613,707,199,50.0
23550,41.613,707,199,50.0
23564,41.613,707,197,50.0
23573,40.272,707,197,50.0
23589,40.272,734,197,50.0
23599,40.272,734,197,50.0
23610,40.272,734,197,50.0
23616,40.272,734,197,50.0
23622,40.272,734,197,50.0
23628,39.707,734,197,50.0
23632,39.707,734,197,50.0
23638,39.707,734,197,50.0
23650,39.707,734,197,50.0
23661,39.707,734,201,50.0
23671,39.707,734,201,50.0
23684,40.748,724,201,50.0
23689,40.748,724,201,50.0
23693,40.748,724,201,50.0
23698,40.748,724,201,50.0
23709,40.748,724,201,50.0
23737,39.466,724,201,50.0
23752,39.466,724,201,50.0
23764,39.466,724,194,50.0
23775,39.466,724,194,50.0
23794,40.321,722,194,50.0
23803,40.321,722,194,50.0
23809,40.321,722,194,50.0
23813,40.321,722,194,50.0
23819,40.321,722,194,50.0
23831,40.321,722,194,50.0
23835,40.321,722,194,50.0
23848,39.596,722,194,50.0
23852,39.596,722,194,50.0
23865,39.596,722,194,50.0
23877,39.596,722,194,169.0
23887,39.596,470,194,160.0
23895,40.01,470,194,146.0
23900,40.01,470,194,139.0
23910,40.01,470,194,133.0
23921,40.01,470,194,128.0
23930,40.01,470,194,123.0
23941,40.01,470,194,119.0
23948,43.374,470,194,58.0
23952,43.374,470,194,58.0
23963,43.374,470,189,57.0
23973,43.374,470,189,57.0
23985,43.374,752,189,56.0
24002,44.973,752,189,50.0
24011,44.973,752,189,50.0
24024,44.973,752,189,50.0
24033,44.973,752,189,50.0
24045,44.973,752,189,50.0
24060,45.004,752,194,50.0
24085,45.004,767,194,50.0
24095,45.004,767,194,50.0
24104,44.943,767,194,50.0
24113,44.943,767,194,50.0
24119,44.943,767,194,50.0
24124,44.943,767,194,50.0
24130,44.943,767,194,50.0
24141,44.943,767,194,50.0
24165,45.004,767,188,50.0
24174,45.004,767,188,50.0
24181,45.004,766,188,50.0
24191,45.004,766,188,50.0
24211,45.004,766,188,50.0
24220,45.004,766,188,50.0
24226,45.004,766,188,50.0
24231,45.004,766,188,50.0
24243,45.004,766,188,50.0
24253,45.004,766,188,50.0
24270,45.065,766,189,50.0
24284,45.065,764,189,50.0
24295,45.065,764,189,50.0
24306,45.065,764,189,50.0
24323,45.053,764,189,50.0
24333,45.053,764,189,50.0
24349,45.053,764,189,50.0
24373,44.992,764,189,50.0
24390,44.992,766,189,50.0
24399,44.992,766,189,50.0
24406,44.992,766,189,50.0
24413,44.992,766,189,50.0
24424,45.034,766,189,50.0
24439,45.034,766,189,50.0
24451,45.034,766,189,50.0
24463,45.034,766,189,50.0
24480,44.969,766,187,208.0
24498,44.969,762,187,199.0
24503,44.969,762,187,191.0
24508,44.969,762,187,184.0
24524,44.969,762,187,177.0
24533,46.05,762,187,153.0
24543,46.05,762,187,149.0
24553,46.05,762,187,145.0
24569,46.05,762,185,142.0
24582,49.946,762,185,74.0
24593,49.946,797,185,74.0
24597,49.946,797,185,75.0
24608,49.946,797,185,75.0
24620,49.946,797,185,76.0
24630,49.946,797,185,76.0
24638,53.47,797,185,50.0
24647,53.47,797,185,50.0
24658,53.47,797,185,50.0
24681,53.47,797,191,50.0
24695,54.8,875,191,50.0
24706,54.8,875,191,50.0
24712,54.8,875,191,50.0
24720,54.8,875,191,50.0
24728,54.8,875,191,50.0
24740,54.627,875,191,50.0
24749,54.627,875,191,50.0
24766,54.627,875,194,50.0
24777,54.627,875,194,50.0
24783,54.627,875,194,50.0
24796,54.64,883,194,50.0
24810,54.64,883,194,50.0
24821,54.64,883,194,50.0
24828,54.64,883,194,50.0
24847,54.693,883,194,50.0
24852,54.693,883,194,50.0
24856,54.693,883,194,50.0
24873,54.693,883,193,50.0
24883,54.693,883,193,50.0
24901,54.693,883,193,50.0
24920,54.739,883,193,50.0
24929,54.739,883,193,50.0
24935,54.739,883,193,50.0
24947,54.739,883,193,50.0
24954,54.774,883,193,50.0
24974,54.774,883,194,50.0
24979,54.774,883,194,50.0
24991,54.774,883,194,50.0
25005,54.726,883,194,50.0
25013,54.726,883,194,50.0
25019,54.726,883,194,50.0
25035,54.726,883,194,50.0
25046,54.726,883,194,50.0
25053,54.726,883,194,50.0
25067,54.75,883,190,50.0
25076,54.75,883,190,208.0
25086,54.75,883,190,199.0
