Timestamps,Speed,P Error,I Error,Distance,Data Available,dt
26449,0,0,0,3847,0,26449
26454,0,0,0,3834,0,5
26511,0,0,0,3860,0,57
26608,0,0,0,3821,0,97
26710,0,0,0,3775,0,102
26806,0,0,0,3704,0,96
26907,0,0,0,3620,0,101
27007,0,0,0,3463,0,100
27104,0,0,0,3318,0,97
27205,0,0,0,3178,0,101
27303,0,0,0,3021,0,98
27400,0,0,0,2850,0,97
27501,0,0,0,2656,0,101
27598,0,0,0,2455,0,97
27695,0,0,0,2264,0,97
27792,0,0,0,2033,0,97
27891,0,0,0,1811,0,99
27993,0,0,0,1555,0,102
28091,0,0,0,1306,0,98
28192,0,0,0,1042,0,101
28288,0,0,0,789,0,96
28386,0,0,0,519,0,98
28489,0,0,0,221,0,103
28586,0,0,0,0,0,97
28685,0,0,0,0,0,99
28696,0,0,0,0,0,11
28704,0,0,0,0,0,8
28710,0,0,0,0,0,6
28721,0,0,0,0,0,11
28727,0,0,0,0,0,6
28735,0,0,0,0,0,8
28743,0,0,0,0,0,7
28753,0,0,0,0,0,10
28764,0,0,0,0,0,11
28770,0,0,0,0,0,6
28778,0,0,0,0,0,8
28785,0,0,0,0,0,7
28796,0,0,0,0,0,11
28804,0,0,0,0,0,8
28815,0,0,0,0,0,11
28822,0,0,0,0,0,7
28833,0,0,0,0,0,11
28839,0,0,0,0,0,6
28850,0,0,0,0,0,11
28861,0,0,0,0,0,11
28867,0,0,0,0,0,6
28875,0,0,0,0,0,8
28882,0,0,0,0,0,7
28893,0,0,0,0,0,11
28904,0,0,0,0,0,11
28912,0,0,0,0,0,8
28919,0,0,0,0,0,7
28930,0,0,0,0,0,11
28936,0,0,0,0,0,6
28944,0,0,0,0,0,8
28955,0,0,0,0,0,11
28962,0,0,0,0,0,7
28973,0,0,0,0,0,11
28979,0,0,0,0,0,6
28987,0,0,0,0,0,8
28994,0,0,0,0,0,7
29005,0,0,0,0,0,11
29011,0,0,0,0,0,6
29019,0,0,0,0,0,8
29026,0,0,0,0,0,7
29037,0,0,0,0,0,11
29048,0,0,0,0,0,11
29059,0,0,0,0,0,11
29068,0,0,0,0,0,9
29078,0,0,0,0,0,10
29086,0,0,0,0,0,8
29096,0,0,0,0,0,10
29107,0,0,0,0,0,11
29113,0,0,0,0,0,6
29124,0,0,0,0,0,11
29130,0,0,0,0,0,6
29141,0,0,0,0,0,11
29147,0,0,0,0,0,6
29158,0,0,0,0,0,11
29169,0,0,0,0,0,11
29175,0,0,0,0,0,6
29181,0,0,0,0,0,6
29192,0,0,0,0,0,11
29198,0,0,0,0,0,6
29204,0,0,0,0,0,6
29215,0,0,0,0,0,11
29221,0,0,0,0,0,6
29232,0,0,0,0,0,11
29243,0,0,0,0,0,11
29250,0,0,0,0,0,7
29256,0,0,0,0,0,6
29265,0,0,0,0,0,9
29272,0,0,0,0,0,7
29278,0,0,0,0,0,6
29284,0,0,0,0,0,6
29300,0,0,0,0,0,16
29307,0,0,0,0,0,7
29317,0,0,0,0,0,10
29328,0,0,0,0,0,11
29336,0,0,0,0,0,8
29347,0,0,0,0,0,11
29358,0,0,0,0,0,11
29366,0,0,0,0,0,8
29373,0,0,0,0,0,7
29379,0,0,0,0,0,6
29385,0,0,0,0,0,6
29394,0,0,0,0,0,9
29401,0,0,0,0,0,7
29407,0,0,0,0,0,6
29413,0,0,0,0,0,6
29419,0,0,0,0,0,6
29425,0,0,0,0,0,6
29436,0,0,0,0,0,11
29443,0,0,0,0,0,7
29449,0,0,0,0,0,6
29464,0,0,0,0,0,15
29475,0,0,0,0,0,11
29483,0,0,0,0,0,8
29490,0,0,0,0,0,7
