Timestamps,Speed,P Error,I Error,Distance,Data Available,dt
1823241,55,289,54062,589,0,11
1823241,55,289,54062,589,0,11
1823251,61,330,57362,630,1,10
1823251,61,330,57362,630,1,10
1823262,66,359,61311,659,0,11
1823262,66,359,61311,659,0,11
1823273,53,218,63709,518,1,11
1823273,53,218,63709,518,1,11
1823290,46,132,65953,432,0,17
1823290,46,132,65953,432,0,17
1823301,54,203,68186,503,1,11
1823301,54,203,68186,503,1,11
1823312,54,198,70364,498,0,11
1823312,54,198,70364,498,0,11
1823317,54,190,71314,490,0,5
1823317,54,190,71314,490,0,5
1823324,58,220,72854,520,1,7
1823324,58,220,72854,520,1,7
1823339,66,278,77024,578,1,15
1823339,66,278,77024,578,1,15
1823355,33,339,1,639,0,16
1823355,33,339,1,639,0,16
1823361,43,424,2545,724,0,6
1823361,43,424,2545,724,0,6
1823369,49,467,6281,767,1,8
1823369,49,467,6281,767,1,8
1823380,59,536,12177,836,0,11
1823380,59,536,12177,836,0,11
1823390,32,256,14737,556,1,10
1823390,32,256,14737,556,1,10
1823401,22,146,16343,446,0,11
1823401,22,146,16343,446,0,11
1823411,47,374,20083,674,1,10
1823411,47,374,20083,674,1,10
1823422,55,435,24868,735,0,11
1823422,55,435,24868,735,0,11
1823433,43,296,28124,596,1,11
1823433,43,296,28124,596,1,11
1823450,39,236,32136,536,0,17
1823450,39,236,32136,536,0,17
1823459,59,412,35844,712,1,9
1823459,59,412,35844,712,1,9
1823470,66,461,40915,761,0,11
1823470,66,461,40915,761,0,11
1823480,80,633,47245,933,1,10
1823480,80,633,47245,933,1,10
1823491,80,748,55473,1048,0,11
1823491,80,748,55473,1048,0,11
1823502,80,888,65241,1188,1,11
1823502,80,888,65241,1188,1,11
1823519,80,1085,1,1385,1,17
1823519,80,1085,1,1385,1,17
1823535,80,1270,20321,1570,0,16
1823535,80,1270,20321,1570,0,16
1823546,80,815,29286,1115,1,11
1823546,80,815,29286,1115,1,11
1823557,80,705,37041,1005,0,11
1823557,80,705,37041,1005,0,11
1823562,74,545,39766,845,0,5
